,Industry,assets,bea_ind_code,major_industry,metr_d,metr_e,metr_mix,mettr_d,mettr_e,mettr_mix,tax_treat,z_mix,year
13,"Funds, trusts, and other financial vehicles",34266597922.83983,5250,Finance and insurance,-0.12118,0.27508,0.19990,0.22045,0.45977,0.41425,corporate,0.26065,2021
14,Ambulatory health care services,187676386627.50763,6210,Health care and social assistance,-0.27624,0.17959,0.09359,0.11264,0.38861,0.33643,corporate,0.60332,2021
15,Hospitals,476870658866.97443,622H,Health care and social assistance,-0.22865,0.21374,0.13027,0.14573,0.41406,0.36328,corporate,0.48220,2021
16,Nursing and residential care facilities,45367688456.41498,6230,Health care and social assistance,-0.22724,0.21158,0.12853,0.14671,0.41245,0.36201,corporate,0.51373,2021
17,Social assistance,32821172821.90539,6240,Health care and social assistance,-0.23058,0.20797,0.12509,0.14438,0.40976,0.35949,corporate,0.50994,2021
18,Publishing industries (including software),205722166039.38168,5110,Information,-0.51646,0.06902,-0.03665,-0.05438,0.30621,0.24108,corporate,0.73872,2021
19,Motion picture and sound recording industries,275276728520.28156,5120,Information,-0.69055,-0.02471,-0.14327,-0.17543,0.23636,0.16302,corporate,0.90202,2021
20,Broadcasting and telecommunications,1290508619097.38721,5130,Information,-0.52202,0.03656,-0.06659,-0.05825,0.28202,0.21916,corporate,0.90519,2021
21,Information and data processing services,118194411065.82817,5140,Information,-0.60881,0.01762,-0.09485,-0.11859,0.26791,0.19847,corporate,0.86834,2021
22,Management of companies and enterprises,424413204161.25208,5500,Management of companies and enterprises,-0.21703,0.22192,0.13960,0.15381,0.42015,0.37011,corporate,0.41752,2021
23,"Food, beverage, and tobacco products",382744557829.31506,311A,Manufacturing,-0.24213,0.19318,0.11092,0.13636,0.39874,0.34911,corporate,0.52027,2021
24,Textile mills and textile product mills,39763433351.20227,313T,Manufacturing,-0.20972,0.21111,0.13108,0.15889,0.41210,0.36387,corporate,0.51865,2021
25,Apparel and leather and allied products,23802489966.32124,315A,Manufacturing,-0.14358,0.24868,0.17380,0.20488,0.44009,0.39514,corporate,0.34371,2021
26,Wood products,45996624948.83839,3210,Manufacturing,-0.19901,0.22018,0.14081,0.16634,0.41886,0.37099,corporate,0.43614,2021
27,Paper products,129541595783.22841,3220,Manufacturing,-0.31941,0.15013,0.06201,0.08262,0.36665,0.31331,corporate,0.64512,2021
28,Printing and related support activities,49933189821.24265,3230,Manufacturing,-0.33216,0.14390,0.05463,0.07376,0.36202,0.30791,corporate,0.67640,2021
29,Petroleum and coal products,329428097154.64099,3240,Manufacturing,-0.22078,0.21331,0.13196,0.15120,0.41374,0.36452,corporate,0.38195,2021
30,Chemical products,863500092522.49268,3250,Manufacturing,-0.46812,0.07834,-0.02192,-0.02077,0.31315,0.25186,corporate,0.74480,2021
31,Plastics and rubber products,110331312312.14606,3260,Manufacturing,-0.30240,0.15939,0.07262,0.09445,0.37356,0.32108,corporate,0.60977,2021
32,Nonmetallic mineral products,116582519995.50418,3270,Manufacturing,-0.24085,0.20007,0.11730,0.13725,0.40387,0.35379,corporate,0.45922,2021
33,Primary metals,186378975799.56097,3310,Manufacturing,-0.24997,0.18658,0.10393,0.13090,0.39382,0.34399,corporate,0.55889,2021
34,Fabricated metal products,185026333664.73990,3320,Manufacturing,-0.28216,0.16892,0.08385,0.10853,0.38066,0.32929,corporate,0.59722,2021
35,Machinery,272319888399.54382,3330,Manufacturing,-0.31512,0.15531,0.06731,0.08561,0.37051,0.31719,corporate,0.59458,2021
36,Computer and electronic products,503974938260.14197,3340,Manufacturing,-0.48430,0.08717,-0.01609,-0.03202,0.31974,0.25613,corporate,0.70471,2021
37,"Electrical equipment, appliances, and components",97409347474.36090,3350,Manufacturing,-0.26140,0.18725,0.10307,0.12296,0.39432,0.34337,corporate,0.49480,2021
38,"Motor vehicles, bodies and trailers, and parts",238664334579.08081,336M,Manufacturing,-0.35956,0.13680,0.04483,0.05471,0.35672,0.30073,corporate,0.62834,2021
39,Other transportation equipment,222225359206.36774,336O,Manufacturing,-0.25272,0.19189,0.10847,0.12899,0.39778,0.34732,corporate,0.46950,2021
40,Furniture and related products,27298970228.61856,3370,Manufacturing,-0.22997,0.20189,0.12027,0.14481,0.40523,0.35596,corporate,0.49661,2021
41,Miscellaneous manufacturing,132809342156.87767,338A,Manufacturing,-0.33024,0.15153,0.06192,0.07510,0.36770,0.31324,corporate,0.58249,2021
42,Oil and gas extraction,1206378883391.49341,2110,Mining,-0.51843,0.03069,-0.07134,-0.05575,0.27764,0.21568,corporate,0.94330,2021
43,"Mining, except oil and gas",190223523011.70444,2120,Mining,-0.35643,0.12819,0.03753,0.05689,0.35031,0.29539,corporate,0.69168,2021
44,Support activities for mining,120225750260.04312,2130,Mining,-0.48923,0.04852,-0.05148,-0.03545,0.29093,0.23023,corporate,0.89529,2021
45,"Other services, except government",227393671623.35632,8100,"Other services, except government",-0.24227,0.20619,0.12171,0.13626,0.40843,0.35701,corporate,0.49109,2021
46,Legal services,20028299848.35870,5411,"Professional, scientific, and technical services",-0.26154,0.18762,0.10282,0.12286,0.39459,0.34319,corporate,0.58256,2021
47,"Miscellaneous professional, scientific, and technical services",249009155858.66895,5412,"Professional, scientific, and technical services",-0.49520,0.07195,-0.03138,-0.03960,0.30840,0.24494,corporate,0.77304,2021
48,Computer systems design and related services,42903264706.01630,5415,"Professional, scientific, and technical services",-0.44282,0.10350,0.00368,-0.00318,0.33190,0.27060,corporate,0.71229,2021
49,Real estate,2545926858991.70166,5310,Real estate and rental and leasing,-0.14214,0.27210,0.19496,0.20588,0.45755,0.41064,corporate,0.09391,2021
50,Rental and leasing services and lessors of intangible assets,248115752511.19281,5320,Real estate and rental and leasing,-0.50462,0.04022,-0.06095,-0.04615,0.28475,0.22329,corporate,0.91097,2021
51,Retail trade,1608593250069.83716,44RT,Retail trade,-0.14294,0.25554,0.17987,0.20532,0.44521,0.39959,corporate,0.30016,2021
52,Air transportation,190656778827.51108,4810,Transportation and warehousing,-0.42677,0.08639,-0.00955,0.00798,0.31915,0.26092,corporate,0.83059,2021
53,Railroad transportation,331353541688.74603,4820,Transportation and warehousing,-0.54759,0.01481,-0.08934,-0.07603,0.26581,0.20250,corporate,0.96232,2021
54,Water transportation,36714023795.72885,4830,Transportation and warehousing,-0.45785,0.06770,-0.03027,-0.01363,0.30523,0.24575,corporate,0.86292,2021
55,Truck transportation,108471874448.41913,4840,Transportation and warehousing,-0.41598,0.09323,-0.00176,0.01548,0.32425,0.26662,corporate,0.79294,2021
56,Transit and ground passenger transportation,35034660346.81857,4850,Transportation and warehousing,-0.29331,0.16707,0.08021,0.10077,0.37928,0.32663,corporate,0.64277,2021
57,Pipeline transportation,169678725931.23572,4860,Transportation and warehousing,-0.51760,0.03166,-0.07041,-0.05517,0.27837,0.21636,corporate,0.94285,2021
58,Other transportation and support activities,110872018728.69969,487S,Transportation and warehousing,-0.41732,0.09365,-0.00167,0.01455,0.32457,0.26669,corporate,0.79247,2021
59,Warehousing and storage,33575803409.08718,4930,Transportation and warehousing,-0.18938,0.23270,0.15275,0.17303,0.42819,0.37973,corporate,0.42893,2021
60,Utilities,2043224620805.23413,2200,Utilities,-0.54461,0.01577,-0.08812,-0.07395,0.26653,0.20340,corporate,0.96607,2021
61,Wholesale trade,973137443869.54004,4200,Wholesale trade,-0.16012,0.23909,0.16317,0.19338,0.43295,0.38736,corporate,0.33039,2021
62,Accommodation,321835229078.42981,7210,Accommodation and food services,-0.17854,0.23413,0.14611,0.32009,0.23413,0.25221,non-corporate,0.28953,2021
63,Food services and drinking places,131618330780.63083,7220,Accommodation and food services,-0.26366,0.17980,0.08531,0.27098,0.17980,0.19897,non-corporate,0.52357,2021
64,Administrative and support services,87779837155.20003,5610,Administrative and waste management services,-0.42661,0.08722,-0.02093,0.17698,0.08722,0.10592,non-corporate,0.73690,2021
65,Waste management and remediation services,45442362954.20710,5620,Administrative and waste management services,-0.43111,0.07722,-0.03034,0.17438,0.07722,0.09769,non-corporate,0.79592,2021
66,Farms,695254770987.64185,110C,"Agriculture, forestry, fishing, and hunting",-0.28904,0.16341,0.06728,0.25634,0.16341,0.18317,non-corporate,0.44654,2021
67,"Forestry, fishing, and related activities",182890160760.91397,113F,"Agriculture, forestry, fishing, and hunting",-0.23003,0.20823,0.11567,0.29039,0.20823,0.22555,non-corporate,0.19288,2021
68,"Performing arts, spectator sports, museums, and related activities",85913620169.68947,711A,"Arts, entertainment, and recreation",-0.47556,0.06270,-0.04996,0.14873,0.06270,0.08050,non-corporate,0.75774,2021
69,"Amusements, gambling, and recreation industries",103963170328.02748,7130,"Arts, entertainment, and recreation",-0.36420,0.11976,0.01729,0.21298,0.11976,0.13940,non-corporate,0.64386,2021
70,Construction,416883328410.43872,2300,Construction,-0.27899,0.17426,0.07830,0.26214,0.17426,0.19283,non-corporate,0.38755,2021
71,Educational services,223504007264.40912,6100,Educational services,-0.24980,0.19349,0.09925,0.27898,0.19349,0.21117,non-corporate,0.47354,2021
72,Credit intermediation and related activities,75859556179.32388,5220,Finance and insurance,-0.32320,0.14287,0.04376,0.23663,0.14287,0.16258,non-corporate,0.63675,2021
73,"Securities, commodity contracts, and investments",178435565512.12598,5230,Finance and insurance,-0.21418,0.21533,0.12423,0.29953,0.21533,0.23305,non-corporate,0.25202,2021
74,Insurance carriers and related activities,22117554582.45041,5240,Finance and insurance,-0.28931,0.16786,0.07085,0.25618,0.16786,0.18630,non-corporate,0.54185,2021
75,"Funds, trusts, and other financial vehicles",32975922704.13087,5250,Finance and insurance,-0.17292,0.23891,0.15112,0.32333,0.23891,0.25660,non-corporate,0.26148,2021
76,Ambulatory health care services,165185547974.24033,6210,Health care and social assistance,-0.31044,0.15200,0.05364,0.24399,0.15200,0.17123,non-corporate,0.62793,2021
77,Hospitals,468739962062.38196,622H,Health care and social assistance,-0.26901,0.18051,0.08495,0.26789,0.18051,0.19865,non-corporate,0.51447,2021
78,Nursing and residential care facilities,44969311543.58502,6230,Health care and social assistance,-0.26691,0.18011,0.08492,0.26911,0.18011,0.19862,non-corporate,0.54254,2021
79,Social assistance,33500693280.57160,6240,Health care and social assistance,-0.26670,0.18009,0.08504,0.26923,0.18009,0.19872,non-corporate,0.51188,2021
80,Publishing industries (including software),10531454693.94330,5110,Information,-0.48177,0.06575,-0.04809,0.14515,0.06575,0.08214,non-corporate,0.67125,2021
81,Motion picture and sound recording industries,32648570359.12500,5120,Information,-0.66344,-0.03790,-0.16679,0.04035,-0.03790,-0.02181,non-corporate,0.88910,2021
82,Broadcasting and telecommunications,114376654727.18872,5130,Information,-0.50719,0.03387,-0.08005,0.13049,0.03387,0.05415,non-corporate,0.88764,2021
83,Information and data processing services,9622690880.85332,5140,Information,-0.57984,0.00922,-0.11272,0.08858,0.00922,0.02554,non-corporate,0.83465,2021
84,Management of companies and enterprises,90403382554.93427,5500,Management of companies and enterprises,-0.26075,0.18691,0.09198,0.27266,0.18691,0.20480,non-corporate,0.44725,2021
85,"Food, beverage, and tobacco products",75311838089.52502,311A,Manufacturing,-0.25906,0.17953,0.08593,0.27364,0.17953,0.19951,non-corporate,0.48073,2021
86,Textile mills and textile product mills,7854948624.08660,313T,Manufacturing,-0.24145,0.18969,0.09748,0.28379,0.18969,0.20962,non-corporate,0.50785,2021
87,Apparel and leather and allied products,5338390836.47052,315A,Manufacturing,-0.19108,0.21999,0.13188,0.31285,0.21999,0.23975,non-corporate,0.35110,2021
88,Wood products,13100141973.28175,3210,Manufacturing,-0.23833,0.19345,0.10130,0.28559,0.19345,0.21297,non-corporate,0.44082,2021
89,Paper products,18990987477.15243,3220,Manufacturing,-0.33322,0.13586,0.03617,0.23085,0.13586,0.15593,non-corporate,0.62709,2021
90,Printing and related support activities,7652157518.94444,3230,Manufacturing,-0.34831,0.12756,0.02653,0.22215,0.12756,0.14749,non-corporate,0.66706,2021
91,Petroleum and coal products,36804972258.67471,3240,Manufacturing,-0.26103,0.18201,0.08784,0.27250,0.18201,0.20118,non-corporate,0.41022,2021
92,Chemical products,155956627359.31982,3250,Manufacturing,-0.46261,0.06685,-0.04422,0.15621,0.06685,0.08553,non-corporate,0.72065,2021
93,Plastics and rubber products,18759113940.69875,3260,Manufacturing,-0.30642,0.15156,0.05410,0.24631,0.15156,0.17163,non-corporate,0.56247,2021
94,Nonmetallic mineral products,17930326841.81076,3270,Manufacturing,-0.27166,0.17522,0.08021,0.26637,0.17522,0.19450,non-corporate,0.46079,2021
95,Primary metals,31384946425.19739,3310,Manufacturing,-0.26787,0.17277,0.07863,0.26855,0.17277,0.19311,non-corporate,0.53029,2021
96,Fabricated metal products,33868174282.10670,3320,Manufacturing,-0.29672,0.15621,0.05966,0.25191,0.15621,0.17650,non-corporate,0.56849,2021
97,Machinery,44994036766.64782,3330,Manufacturing,-0.30934,0.15142,0.05355,0.24463,0.15142,0.17115,non-corporate,0.53085,2021
98,Computer and electronic products,67202508360.48989,3340,Manufacturing,-0.49189,0.06103,-0.05378,0.13931,0.06103,0.07715,non-corporate,0.70000,2021
99,"Electrical equipment, appliances, and components",13457767002.51348,3350,Manufacturing,-0.27563,0.17221,0.07697,0.26407,0.17221,0.19166,non-corporate,0.45914,2021
100,"Motor vehicles, bodies and trailers, and parts",37968439963.23032,336M,Manufacturing,-0.36263,0.12406,0.02133,0.21388,0.12406,0.14294,non-corporate,0.59401,2021
101,Other transportation equipment,37605705698.38089,336O,Manufacturing,-0.26335,0.17955,0.08533,0.27116,0.17955,0.19898,non-corporate,0.41946,2021
102,Furniture and related products,3398491339.27717,3370,Manufacturing,-0.25686,0.18154,0.08800,0.27490,0.18154,0.20132,non-corporate,0.48386,2021
103,Miscellaneous manufacturing,21983133310.84389,338A,Manufacturing,-0.33250,0.14027,0.04019,0.23127,0.14027,0.15945,non-corporate,0.54284,2021
104,Oil and gas extraction,250060628349.19983,2110,Mining,-0.51045,0.02735,-0.08627,0.12861,0.02735,0.04870,non-corporate,0.93997,2021
105,"Mining, except oil and gas",42556976404.31303,2120,Mining,-0.36177,0.12044,0.01829,0.21438,0.12044,0.14027,non-corporate,0.64258,2021
106,Support activities for mining,25044165259.49403,2130,Mining,-0.48651,0.04270,-0.06912,0.14242,0.04270,0.06372,non-corporate,0.88805,2021
107,"Other services, except government",434659499245.13385,8100,"Other services, except government",-0.28544,0.17088,0.07397,0.25842,0.17088,0.18903,non-corporate,0.53402,2021
108,Legal services,24694671278.72603,5411,"Professional, scientific, and technical services",-0.29541,0.16116,0.06402,0.25266,0.16116,0.18032,non-corporate,0.59502,2021
109,"Miscellaneous professional, scientific, and technical services",250145961932.30286,5412,"Professional, scientific, and technical services",-0.51001,0.04562,-0.07017,0.12886,0.04562,0.06280,non-corporate,0.78063,2021
110,Computer systems design and related services,34987856978.61507,5415,"Professional, scientific, and technical services",-0.46342,0.07420,-0.03798,0.15574,0.07420,0.09099,non-corporate,0.72049,2021
111,Real estate,10194541073775.74609,5310,Real estate and rental and leasing,-0.19028,0.23377,0.14412,0.31332,0.23377,0.25046,non-corporate,0.09972,2021
112,Rental and leasing services and lessors of intangible assets,187611316433.48492,5320,Real estate and rental and leasing,-0.49287,0.03880,-0.07351,0.13875,0.03880,0.05988,non-corporate,0.89578,2021
113,Retail trade,599107994983.75305,44RT,Retail trade,-0.16147,0.23897,0.15312,0.32994,0.23897,0.25834,non-corporate,0.24496,2021
114,Air transportation,47796425035.38664,4810,Transportation and warehousing,-0.43571,0.07341,-0.03446,0.17173,0.07341,0.09408,non-corporate,0.83678,2021
115,Railroad transportation,83039763587.38625,4820,Transportation and warehousing,-0.53493,0.01308,-0.10252,0.11448,0.01308,0.03447,non-corporate,0.95947,2021
116,Water transportation,9217710064.27329,4830,Transportation and warehousing,-0.46086,0.05803,-0.05177,0.15721,0.05803,0.07892,non-corporate,0.86441,2021
117,Truck transportation,37317255861.79116,4840,Transportation and warehousing,-0.43124,0.07645,-0.03103,0.17430,0.07645,0.09708,non-corporate,0.80758,2021
118,Transit and ground passenger transportation,10233125938.19117,4850,Transportation and warehousing,-0.32459,0.14195,0.04268,0.23583,0.14195,0.16163,non-corporate,0.66504,2021
119,Pipeline transportation,33708295455.53726,4860,Transportation and warehousing,-0.51172,0.02664,-0.08711,0.12787,0.02664,0.04797,non-corporate,0.94524,2021
120,Other transportation and support activities,34235605978.45628,487S,Transportation and warehousing,-0.42906,0.07845,-0.02898,0.17556,0.07845,0.09888,non-corporate,0.80029,2021
121,Warehousing and storage,15189477206.63352,4930,Transportation and warehousing,-0.23480,0.19901,0.10652,0.28763,0.19901,0.21754,non-corporate,0.46573,2021
122,Utilities,110848021471.32501,2200,Utilities,-0.52801,0.01696,-0.09806,0.11848,0.01696,0.03837,non-corporate,0.95461,2021
123,Wholesale trade,387578651034.95862,4200,Wholesale trade,-0.16375,0.23532,0.14966,0.32862,0.23532,0.25532,non-corporate,0.22715,2021
124,Accommodation and food services,422338947685.42126,,Accommodation and food services,-0.16077,0.25079,0.17316,0.19293,0.44167,0.39468,corporate,0.30796,2021
125,Administrative and waste management services,175956964100.01053,,Administrative and waste management services,-0.40953,0.10528,0.00975,0.01996,0.33323,0.27505,corporate,0.74473,2021
126,"Agriculture, forestry, fishing, and hunting",393953898677.15161,,"Agriculture, forestry, fishing, and hunting",-0.27531,0.17550,0.09100,0.11328,0.38556,0.33453,corporate,0.49546,2021
127,"Arts, entertainment, and recreation",183023311190.91339,,"Arts, entertainment, and recreation",-0.38588,0.12187,0.02781,0.03641,0.34559,0.28827,corporate,0.67480,2021
130,Finance and insurance,1136731001700.34302,,Finance and insurance,-0.28509,0.17445,0.08797,0.10649,0.38478,0.33232,corporate,0.60607,2021
131,Health care and social assistance,742735906772.80237,,Health care and social assistance,-0.24034,0.20499,0.12095,0.13760,0.40754,0.35645,corporate,0.51596,2021
132,Information,1889701924722.87842,,Information,-0.54913,0.03062,-0.07545,-0.07709,0.27760,0.21267,corporate,0.88430,2021
133,Management of companies and enterprises,424413204161.25208,,Management of companies and enterprises,-0.21703,0.22192,0.13960,0.15381,0.42015,0.37011,corporate,0.41752,2021
134,Manufacturing,3957731403454.22363,,Manufacturing,-0.33493,0.14836,0.05843,0.07183,0.36533,0.31068,corporate,0.60142,2021
135,Mining,1516828156663.24072,,Mining,-0.49373,0.04549,-0.05480,-0.03858,0.28868,0.22779,corporate,0.90794,2021
136,"Other services, except government",227393671623.35632,,"Other services, except government",-0.24227,0.20619,0.12171,0.13626,0.40843,0.35701,corporate,0.49109,2021
137,"Professional, scientific, and technical services",311940720413.04395,,"Professional, scientific, and technical services",-0.47037,0.08475,-0.01670,-0.02234,0.31793,0.25569,corporate,0.75245,2021
138,Real estate and rental and leasing,2794042611502.89404,,Real estate and rental and leasing,-0.16711,0.25614,0.17734,0.18852,0.44566,0.39774,corporate,0.16647,2021
140,Transportation and warehousing,1016357427176.24634,,Transportation and warehousing,-0.46264,0.06533,-0.03302,-0.01696,0.30346,0.24374,corporate,0.86553,2021
143,Accommodation and food services,453453559859.06067,,Accommodation and food services,-0.20204,0.21912,0.12931,0.30653,0.21912,0.23750,non-corporate,0.35746,2021
144,Administrative and waste management services,133222200109.40714,,Administrative and waste management services,-0.42814,0.08383,-0.02412,0.17609,0.08383,0.10313,non-corporate,0.75703,2021
145,"Agriculture, forestry, fishing, and hunting",878144931748.55566,,"Agriculture, forestry, fishing, and hunting",-0.27629,0.17316,0.07779,0.26370,0.17316,0.19238,non-corporate,0.39371,2021
146,"Arts, entertainment, and recreation",189876790497.71692,,"Arts, entertainment, and recreation",-0.41243,0.09483,-0.01204,0.18515,0.09483,0.11371,non-corporate,0.69539,2021
149,Finance and insurance,309388598978.03119,,Finance and insurance,-0.23974,0.19809,0.10512,0.28478,0.19809,0.21631,non-corporate,0.36808,2021
150,Health care and social assistance,712395514860.77893,,Health care and social assistance,-0.27814,0.17403,0.07788,0.26263,0.17403,0.19245,non-corporate,0.54243,2021
151,Information,167179370661.11032,,Information,-0.53781,0.02135,-0.09571,0.11282,0.02135,0.04044,non-corporate,0.87124,2021
152,Management of companies and enterprises,90403382554.93427,,Management of companies and enterprises,-0.26075,0.18691,0.09198,0.27266,0.18691,0.20480,non-corporate,0.44725,2021
153,Manufacturing,649562708068.65234,,Manufacturing,-0.34468,0.13290,0.03184,0.22424,0.13290,0.15214,non-corporate,0.57895,2021
154,Mining,317661770013.00690,,Mining,-0.48681,0.04214,-0.06966,0.14224,0.04214,0.06325,non-corporate,0.89604,2021
155,"Other services, except government",434659499245.13385,,"Other services, except government",-0.28544,0.17088,0.07397,0.25842,0.17088,0.18903,non-corporate,0.53402,2021
156,"Professional, scientific, and technical services",309828490189.64392,,"Professional, scientific, and technical services",-0.48507,0.05923,-0.05443,0.14325,0.05923,0.07659,non-corporate,0.75905,2021
157,Real estate and rental and leasing,10382152390209.22852,,Real estate and rental and leasing,-0.19465,0.23095,0.14097,0.31079,0.23095,0.24771,non-corporate,0.11411,2021
159,Transportation and warehousing,270737659127.65555,,Transportation and warehousing,-0.45514,0.06184,-0.04755,0.16051,0.06184,0.08261,non-corporate,0.85291,2021
162,Overall,20307631130712.19531,,Overall,-0.31747,0.15729,0.06864,0.08397,0.37199,0.31816,corporate,0.58850,2021
163,Overall,17036588869287.80469,,Overall,-0.23216,0.20538,0.11273,0.28915,0.20538,0.22298,non-corporate,0.26876,2021
0,Accommodation,251468386854.07248,7210,Accommodation and food services,-0.09905,0.27184,0.20042,0.23612,0.45669,0.41415,corporate,0.21308,2022
1,Food services and drinking places,170870560831.34879,7220,Accommodation and food services,-0.18088,0.21791,0.14108,0.17925,0.41645,0.37067,corporate,0.44616,2022
2,Administrative and support services,106492097792.69568,5610,Administrative and waste management services,-0.30630,0.14319,0.05735,0.09207,0.36070,0.30933,corporate,0.71891,2022
3,Waste management and remediation services,69464866307.31482,5620,Administrative and waste management services,-0.36711,0.10218,0.01281,0.04981,0.33010,0.27669,corporate,0.75866,2022
4,Farms,359601192714.82739,110C,"Agriculture, forestry, fishing, and hunting",-0.24431,0.17349,0.09346,0.13516,0.38331,0.33578,corporate,0.50321,2022
5,"Forestry, fishing, and related activities",34352705962.32426,113F,"Agriculture, forestry, fishing, and hunting",-0.22409,0.19598,0.11605,0.14922,0.40009,0.35233,corporate,0.41422,2022
6,"Performing arts, spectator sports, museums, and related activities",79922779340.27766,711A,"Arts, entertainment, and recreation",-0.41084,0.09361,-0.00103,0.01942,0.32371,0.26655,corporate,0.73063,2022
7,"Amusements, gambling, and recreation industries",103100531850.63574,7130,"Arts, entertainment, and recreation",-0.30327,0.14338,0.05824,0.09418,0.36084,0.30998,corporate,0.63056,2022
8,Construction,167674309864.62842,2300,Construction,-0.23155,0.18402,0.10440,0.14403,0.39116,0.34379,corporate,0.48946,2022
9,Educational services,321852356259.17963,6100,Educational services,-0.16871,0.23228,0.15488,0.18770,0.42718,0.38078,corporate,0.43724,2022
10,Credit intermediation and related activities,742471497270.98792,5220,Finance and insurance,-0.27625,0.15681,0.07348,0.11296,0.37086,0.32114,corporate,0.67684,2022
11,"Securities, commodity contracts, and investments",117288646634.00693,5230,Finance and insurance,-0.14559,0.24300,0.16829,0.20378,0.43517,0.39061,corporate,0.34209,2022
12,Insurance carriers and related activities,242704259872.50821,5240,Finance and insurance,-0.18989,0.21265,0.13490,0.17299,0.41252,0.36615,corporate,0.54219,2022
13,"Funds, trusts, and other financial vehicles",34266597922.83983,5250,Finance and insurance,-0.09222,0.27531,0.20413,0.24087,0.45928,0.41687,corporate,0.25981,2022
14,Ambulatory health care services,187676386627.50763,6210,Health care and social assistance,-0.23715,0.18308,0.10205,0.14014,0.39046,0.34208,corporate,0.59986,2022
15,Hospitals,476870658866.97443,622H,Health care and social assistance,-0.19543,0.21449,0.13549,0.16913,0.41390,0.36658,corporate,0.48113,2022
16,Nursing and residential care facilities,45367688456.41498,6230,Health care and social assistance,-0.19247,0.21341,0.13494,0.17119,0.41309,0.36617,corporate,0.51131,2022
17,Social assistance,32821172821.90539,6240,Health care and social assistance,-0.19411,0.21071,0.13253,0.17005,0.41108,0.36441,corporate,0.50695,2022
18,Publishing industries (including software),205722166039.38168,5110,Information,-0.39927,0.10574,0.01146,0.02746,0.33276,0.27570,corporate,0.72253,2022
19,Motion picture and sound recording industries,275276728520.28156,5120,Information,-0.63587,-0.02185,-0.13393,-0.13699,0.23756,0.16918,corporate,0.90050,2022
20,Broadcasting and telecommunications,1290508619097.38721,5130,Information,-0.47118,0.04200,-0.05500,-0.02252,0.28519,0.22700,corporate,0.90220,2022
21,Information and data processing services,118194411065.82817,5140,Information,-0.35528,0.12267,0.03226,0.05803,0.34539,0.29094,corporate,0.81543,2022
22,Management of companies and enterprises,424413204161.25208,5500,Management of companies and enterprises,-0.14993,0.24062,0.16540,0.20076,0.43340,0.38849,corporate,0.40594,2022
23,"Food, beverage, and tobacco products",382744557829.31506,311A,Manufacturing,-0.19328,0.20319,0.12650,0.17063,0.40547,0.35999,corporate,0.51048,2022
24,Textile mills and textile product mills,39763433351.20227,313T,Manufacturing,-0.16871,0.21727,0.14224,0.18771,0.41598,0.37152,corporate,0.51222,2022
25,Apparel and leather and allied products,23802489966.32124,315A,Manufacturing,-0.09952,0.25790,0.18811,0.23579,0.44629,0.40513,corporate,0.33351,2022
26,Wood products,45996624948.83839,3210,Manufacturing,-0.15625,0.22736,0.15308,0.19637,0.42351,0.37946,corporate,0.42859,2022
27,Paper products,129541595783.22841,3220,Manufacturing,-0.25418,0.16787,0.08661,0.12830,0.37911,0.33076,corporate,0.62973,2022
