,Industry,assets,bea_ind_code,major_industry,metr_d,metr_e,metr_mix,mettr_d,mettr_e,mettr_mix,tax_treat,z_mix,year
36,Computer and electronic products,503974938260.14197,3340,Manufacturing,-0.34558,0.04843,-0.03118,0.03031,0.16158,0.13496,corporate,0.70354,2020
37,"Electrical equipment, appliances, and components",97409347474.36090,3350,Manufacturing,-0.18865,0.13215,0.06568,0.14340,0.23535,0.21622,corporate,0.49355,2020
38,"Motor vehicles, bodies and trailers, and parts",238664334579.08081,336M,Manufacturing,-0.25620,0.09184,0.02032,0.09472,0.19983,0.17816,corporate,0.62734,2020
39,Other transportation equipment,222225359206.36774,336O,Manufacturing,-0.18451,0.13513,0.06894,0.14638,0.23797,0.21895,corporate,0.46844,2020
40,Furniture and related products,27298970228.61856,3370,Manufacturing,-0.16378,0.14571,0.08124,0.16132,0.24729,0.22927,corporate,0.49492,2020
41,Miscellaneous manufacturing,132809342156.87767,338A,Manufacturing,-0.23741,0.10278,0.03270,0.10826,0.20947,0.18855,corporate,0.58142,2020
42,Oil and gas extraction,1206378883391.49341,2110,Mining,-0.34390,0.02110,-0.05428,0.03151,0.13750,0.11558,corporate,0.94300,2020
43,"Mining, except oil and gas",190223523011.70444,2120,Mining,-0.24299,0.09129,0.02200,0.10424,0.19934,0.17957,corporate,0.69094,2020
44,Support activities for mining,120225750260.04312,2130,Mining,-0.32670,0.03335,-0.04102,0.04391,0.14830,0.12670,corporate,0.89496,2020
45,"Other services, except government",227393671623.35632,8100,"Other services, except government",-0.16781,0.14999,0.08382,0.15842,0.25107,0.23143,corporate,0.48808,2020
46,Legal services,20028299848.35870,5411,"Professional, scientific, and technical services",-0.18177,0.13581,0.06963,0.14836,0.23857,0.21953,corporate,0.57993,2020
47,"Miscellaneous professional, scientific, and technical services",249009155858.66895,5412,"Professional, scientific, and technical services",-0.34550,0.04081,-0.03778,0.03037,0.15486,0.12942,corporate,0.77188,2020
48,Computer systems design and related services,42903264706.01630,5415,"Professional, scientific, and technical services",-0.31196,0.06458,-0.01213,0.05454,0.17581,0.15094,corporate,0.71065,2020
49,Real estate,2545926858991.70166,5310,Real estate and rental and leasing,-0.09576,0.20280,0.14104,0.21034,0.29759,0.27943,corporate,0.09624,2020
50,Rental and leasing services and lessors of intangible assets,248115752511.19281,5320,Real estate and rental and leasing,-0.33519,0.02780,-0.04714,0.03779,0.14340,0.12157,corporate,0.91072,2020
51,Retail trade,1608593250069.83716,44RT,Retail trade,-0.09985,0.18995,0.12935,0.20739,0.28627,0.26962,corporate,0.29810,2020
52,Air transportation,190656778827.51108,4810,Transportation and warehousing,-0.28776,0.06064,-0.01156,0.07197,0.17234,0.15142,corporate,0.82949,2020
53,Railroad transportation,331353541688.74603,4820,Transportation and warehousing,-0.36080,0.01013,-0.06634,0.01934,0.12784,0.10547,corporate,0.96231,2020
54,Water transportation,36714023795.72885,4830,Transportation and warehousing,-0.30689,0.04724,-0.02603,0.05819,0.16054,0.13929,corporate,0.86223,2020
55,Truck transportation,108471874448.41913,4840,Transportation and warehousing,-0.28087,0.06554,-0.00616,0.07694,0.17665,0.15595,corporate,0.79222,2020
56,Transit and ground passenger transportation,35034660346.81857,4850,Transportation and warehousing,-0.20205,0.12055,0.05335,0.13375,0.22513,0.20587,corporate,0.64045,2020
57,Pipeline transportation,169678725931.23572,4860,Transportation and warehousing,-0.34322,0.02183,-0.05357,0.03201,0.13815,0.11618,corporate,0.94247,2020
58,Other transportation and support activities,110872018728.69969,487S,Transportation and warehousing,-0.28176,0.06574,-0.00619,0.07630,0.17683,0.15593,corporate,0.79160,2020
59,Warehousing and storage,33575803409.08718,4930,Transportation and warehousing,-0.13137,0.17158,0.10831,0.18468,0.27009,0.25197,corporate,0.42577,2020
60,Utilities,2043224620805.23413,2200,Utilities,-0.35927,0.01079,-0.06554,0.02044,0.12842,0.10614,corporate,0.96598,2020
61,Wholesale trade,973137443869.54004,4200,Wholesale trade,-0.11466,0.17610,0.11530,0.19672,0.27407,0.25784,corporate,0.32937,2020
62,Accommodation,321835229078.42981,7210,Accommodation and food services,-0.17238,0.22652,0.15103,0.28056,0.22652,0.23637,non-corporate,0.27532,2020
63,Food services and drinking places,131618330780.63083,7220,Accommodation and food services,-0.25479,0.17338,0.09245,0.22999,0.17338,0.18368,non-corporate,0.51099,2020
64,Administrative and support services,87779837155.20003,5610,Administrative and waste management services,-0.41216,0.08590,-0.00674,0.13342,0.08590,0.09445,non-corporate,0.72989,2020
65,Waste management and remediation services,45442362954.20710,5620,Administrative and waste management services,-0.41581,0.07437,-0.01741,0.13118,0.07437,0.08486,non-corporate,0.79233,2020
66,Farms,695254770987.64185,110C,"Agriculture, forestry, fishing, and hunting",-0.27924,0.15673,0.07471,0.21499,0.15673,0.16772,non-corporate,0.44654,2020
67,"Forestry, fishing, and related activities",182890160760.91397,113F,"Agriculture, forestry, fishing, and hunting",-0.22180,0.20271,0.12344,0.25024,0.20271,0.21155,non-corporate,0.19169,2020
68,"Performing arts, spectator sports, museums, and related activities",85913620169.68947,711A,"Arts, entertainment, and recreation",-0.45952,0.06369,-0.03294,0.10436,0.06369,0.07089,non-corporate,0.75102,2020
69,"Amusements, gambling, and recreation industries",103963170328.02748,7130,"Arts, entertainment, and recreation",-0.35149,0.11568,0.02814,0.17066,0.11568,0.12583,non-corporate,0.63971,2020
70,Construction,416883328410.43872,2300,Construction,-0.26933,0.16874,0.08668,0.22107,0.16874,0.17848,non-corporate,0.38537,2020
71,Educational services,223504007264.40912,6100,Educational services,-0.24140,0.18858,0.10747,0.23821,0.18858,0.19719,non-corporate,0.45328,2020
72,Credit intermediation and related activities,75859556179.32388,5220,Finance and insurance,-0.31231,0.13754,0.05274,0.19469,0.13754,0.14796,non-corporate,0.62689,2020
73,"Securities, commodity contracts, and investments",178435565512.12598,5230,Finance and insurance,-0.20685,0.20896,0.13086,0.25941,0.20896,0.21823,non-corporate,0.24486,2020
74,Insurance carriers and related activities,22117554582.45041,5240,Finance and insurance,-0.27988,0.16287,0.07963,0.21459,0.16287,0.17214,non-corporate,0.52825,2020
75,"Funds, trusts, and other financial vehicles",32975922704.13087,5250,Finance and insurance,-0.16687,0.23167,0.15628,0.28394,0.23167,0.24109,non-corporate,0.24565,2020
76,Ambulatory health care services,165185547974.24033,6210,Health care and social assistance,-0.29996,0.14696,0.06266,0.20228,0.14696,0.15688,non-corporate,0.61430,2020
77,Hospitals,468739962062.38196,622H,Health care and social assistance,-0.25985,0.17564,0.09351,0.22689,0.17564,0.18463,non-corporate,0.49692,2020
78,Nursing and residential care facilities,44969311543.58502,6230,Health care and social assistance,-0.25788,0.17473,0.09297,0.22810,0.17473,0.18414,non-corporate,0.52462,2020
79,Social assistance,33500693280.57160,6240,Health care and social assistance,-0.25769,0.17444,0.09290,0.22822,0.17444,0.18408,non-corporate,0.49750,2020
80,Publishing industries (including software),10531454693.94330,5110,Information,-0.46621,0.06796,-0.02982,0.10025,0.06796,0.07369,non-corporate,0.66639,2020
81,Motion picture and sound recording industries,32648570359.12500,5120,Information,-0.64052,-0.02988,-0.14037,-0.00671,-0.02988,-0.02574,non-corporate,0.88785,2020
82,Broadcasting and telecommunications,114376654727.18872,5130,Information,-0.48904,0.03349,-0.06371,0.08624,0.03349,0.04322,non-corporate,0.88547,2020
83,Information and data processing services,9622690880.85332,5140,Information,-0.55986,0.01476,-0.08985,0.04279,0.01476,0.01970,non-corporate,0.83105,2020
84,Management of companies and enterprises,90403382554.93427,5500,Management of companies and enterprises,-0.25229,0.18167,0.10015,0.23153,0.18167,0.19061,non-corporate,0.43363,2020
85,"Food, beverage, and tobacco products",75311838089.52502,311A,Manufacturing,-0.25072,0.17172,0.09177,0.23249,0.17172,0.18307,non-corporate,0.47417,2020
86,Textile mills and textile product mills,7854948624.08660,313T,Manufacturing,-0.23370,0.18156,0.10272,0.24294,0.18156,0.19291,non-corporate,0.49653,2020
87,Apparel and leather and allied products,5338390836.47052,315A,Manufacturing,-0.18510,0.21049,0.13520,0.27276,0.21049,0.22213,non-corporate,0.34191,2020
88,Wood products,13100141973.28175,3210,Manufacturing,-0.23060,0.18563,0.10684,0.24484,0.18563,0.19662,non-corporate,0.43214,2020
89,Paper products,18990987477.15243,3220,Manufacturing,-0.32233,0.13013,0.04496,0.18855,0.13013,0.14096,non-corporate,0.62088,2020
90,Printing and related support activities,7652157518.94444,3230,Manufacturing,-0.33695,0.12246,0.03608,0.17958,0.12246,0.13297,non-corporate,0.65935,2020
91,Petroleum and coal products,36804972258.67471,3240,Manufacturing,-0.25233,0.17521,0.09471,0.23150,0.17521,0.18571,non-corporate,0.40593,2020
92,Chemical products,155956627359.31982,3250,Manufacturing,-0.44767,0.06609,-0.02902,0.11163,0.06609,0.07442,non-corporate,0.71713,2020
93,Plastics and rubber products,18759113940.69875,3260,Manufacturing,-0.29665,0.14494,0.06168,0.20431,0.14494,0.15600,non-corporate,0.55690,2020
94,Nonmetallic mineral products,17930326841.81076,3270,Manufacturing,-0.26269,0.16862,0.08738,0.22514,0.16862,0.17911,non-corporate,0.45482,2020
95,Primary metals,31384946425.19739,3310,Manufacturing,-0.25917,0.16487,0.08450,0.22730,0.16487,0.17652,non-corporate,0.52317,2020
96,Fabricated metal products,33868174282.10670,3320,Manufacturing,-0.28712,0.14916,0.06671,0.21015,0.14916,0.16052,non-corporate,0.56232,2020
97,Machinery,44994036766.64782,3330,Manufacturing,-0.29969,0.14514,0.06147,0.20244,0.14514,0.15581,non-corporate,0.52609,2020
98,Computer and electronic products,67202508360.48989,3340,Manufacturing,-0.47645,0.06367,-0.03502,0.09397,0.06367,0.06902,non-corporate,0.69408,2020
99,"Electrical equipment, appliances, and components",13457767002.51348,3350,Manufacturing,-0.26720,0.16525,0.08378,0.22238,0.16525,0.17588,non-corporate,0.45330,2020
100,"Motor vehicles, bodies and trailers, and parts",37968439963.23032,336M,Manufacturing,-0.35128,0.12020,0.03224,0.17078,0.12020,0.12952,non-corporate,0.58918,2020
101,Other transportation equipment,37605705698.38089,336O,Manufacturing,-0.25547,0.17216,0.09158,0.22958,0.17216,0.18289,non-corporate,0.41470,2020
102,Furniture and related products,3398491339.27717,3370,Manufacturing,-0.24874,0.17387,0.09390,0.23370,0.17387,0.18498,non-corporate,0.47562,2020
103,Miscellaneous manufacturing,21983133310.84389,338A,Manufacturing,-0.32232,0.13514,0.04948,0.18855,0.13514,0.14502,non-corporate,0.53780,2020
104,Oil and gas extraction,250060628349.19983,2110,Mining,-0.49178,0.02613,-0.07063,0.08457,0.02613,0.03699,non-corporate,0.93843,2020
105,"Mining, except oil and gas",42556976404.31303,2120,Mining,-0.34920,0.11604,0.02881,0.17206,0.11604,0.12643,non-corporate,0.63906,2020
106,Support activities for mining,25044165259.49403,2130,Mining,-0.46893,0.04099,-0.05429,0.09859,0.04099,0.05169,non-corporate,0.88639,2020
107,"Other services, except government",434659499245.13385,8100,"Other services, except government",-0.27579,0.16642,0.08312,0.21711,0.16642,0.17529,non-corporate,0.51816,2020
108,Legal services,24694671278.72603,5411,"Professional, scientific, and technical services",-0.28552,0.15569,0.07245,0.21114,0.15569,0.16568,non-corporate,0.58169,2020
109,"Miscellaneous professional, scientific, and technical services",250145961932.30286,5412,"Professional, scientific, and technical services",-0.49304,0.04809,-0.05127,0.08379,0.04809,0.05440,non-corporate,0.77468,2020
110,Computer systems design and related services,34987856978.61507,5415,"Professional, scientific, and technical services",-0.44831,0.07573,-0.02066,0.11124,0.07573,0.08194,non-corporate,0.71213,2020
111,Real estate,10194541073775.74609,5310,Real estate and rental and leasing,-0.18470,0.22724,0.15018,0.27300,0.22724,0.23560,non-corporate,0.09780,2020
112,Rental and leasing services and lessors of intangible assets,187611316433.48492,5320,Real estate and rental and leasing,-0.47492,0.03728,-0.05840,0.09491,0.03728,0.04799,non-corporate,0.89453,2020
113,Retail trade,599107994983.75305,44RT,Retail trade,-0.15615,0.22919,0.15582,0.29053,0.22919,0.24067,non-corporate,0.23679,2020
114,Air transportation,47796425035.38664,4810,Transportation and warehousing,-0.42028,0.07055,-0.02151,0.12844,0.07055,0.08117,non-corporate,0.83116,2020
115,Railroad transportation,83039763587.38625,4820,Transportation and warehousing,-0.51509,0.01264,-0.08576,0.07026,0.01264,0.02338,non-corporate,0.95940,2020
116,Water transportation,9217710064.27329,4830,Transportation and warehousing,-0.44435,0.05570,-0.03793,0.11367,0.05570,0.06641,non-corporate,0.86085,2020
117,Truck transportation,37317255861.79116,4840,Transportation and warehousing,-0.41598,0.07340,-0.01829,0.13108,0.07340,0.08407,non-corporate,0.80387,2020
118,Transit and ground passenger transportation,10233125938.19117,4850,Transportation and warehousing,-0.31355,0.13680,0.05183,0.19394,0.13680,0.14714,non-corporate,0.65306,2020
119,Pipeline transportation,33708295455.53726,4860,Transportation and warehousing,-0.49298,0.02552,-0.07137,0.08383,0.02552,0.03632,non-corporate,0.94327,2020
120,Other transportation and support activities,34235605978.45628,487S,Transportation and warehousing,-0.41389,0.07558,-0.01611,0.13236,0.07558,0.08603,non-corporate,0.79580,2020
121,Warehousing and storage,15189477206.63352,4930,Transportation and warehousing,-0.22689,0.19258,0.11321,0.24712,0.19258,0.20235,non-corporate,0.44910,2020
122,Utilities,110848021471.32501,2200,Utilities,-0.50851,0.01626,-0.08165,0.07430,0.01626,0.02707,non-corporate,0.95416,2020
123,Wholesale trade,387578651034.95862,4200,Wholesale trade,-0.15856,0.22470,0.15165,0.28905,0.22470,0.23692,non-corporate,0.22364,2020
124,Accommodation and food services,422338947685.42126,,Accommodation and food services,-0.11061,0.18619,0.12435,0.19964,0.28296,0.26543,corporate,0.30577,2020
125,Administrative and waste management services,175956964100.01053,,Administrative and waste management services,-0.28031,0.07205,-0.00059,0.07735,0.18239,0.16063,corporate,0.74363,2020
126,"Agriculture, forestry, fishing, and hunting",393953898677.15161,,"Agriculture, forestry, fishing, and hunting",-0.18981,0.12709,0.06134,0.14256,0.23089,0.21257,corporate,0.49542,2020
127,"Arts, entertainment, and recreation",183023311190.91339,,"Arts, entertainment, and recreation",-0.26523,0.08388,0.01198,0.08821,0.19281,0.17117,corporate,0.67379,2020
130,Finance and insurance,1136731001700.34302,,Finance and insurance,-0.19804,0.12528,0.05805,0.13663,0.22929,0.20982,corporate,0.60379,2020
131,Health care and social assistance,742735906772.80237,,Health care and social assistance,-0.16608,0.14951,0.08373,0.15967,0.25064,0.23136,corporate,0.51278,2020
132,Information,1889701924722.87842,,Information,-0.37177,0.01496,-0.06405,0.01144,0.13209,0.10739,corporate,0.88380,2020
133,Management of companies and enterprises,424413204161.25208,,Management of companies and enterprises,-0.15346,0.16096,0.09575,0.16876,0.26073,0.24144,corporate,0.41492,2020
134,Manufacturing,3957731403454.22363,,Manufacturing,-0.23826,0.10145,0.03141,0.10765,0.20829,0.18747,corporate,0.60033,2020
135,Mining,1516828156663.24072,,Mining,-0.32901,0.03145,-0.04303,0.04225,0.14662,0.12502,corporate,0.90758,2020
136,"Other services, except government",227393671623.35632,,"Other services, except government",-0.16781,0.14999,0.08382,0.15842,0.25107,0.23143,corporate,0.48808,2020
137,"Professional, scientific, and technical services",311940720413.04395,,"Professional, scientific, and technical services",-0.32900,0.05083,-0.02659,0.04225,0.16369,0.13881,corporate,0.75113,2020
138,Real estate and rental and leasing,2794042611502.89404,,Real estate and rental and leasing,-0.11349,0.18985,0.12711,0.19756,0.28618,0.26775,corporate,0.16856,2020
140,Transportation and warehousing,1016357427176.24634,,Transportation and warehousing,-0.30978,0.04552,-0.02796,0.05611,0.15902,0.13766,corporate,0.86487,2020
143,Accommodation and food services,453453559859.06067,,Accommodation and food services,-0.19516,0.21181,0.13482,0.26658,0.21181,0.22179,non-corporate,0.34372,2020
144,Administrative and waste management services,133222200109.40714,,Administrative and waste management services,-0.41340,0.08200,-0.01036,0.13266,0.08200,0.09120,non-corporate,0.75119,2020
145,"Agriculture, forestry, fishing, and hunting",878144931748.55566,,"Agriculture, forestry, fishing, and hunting",-0.26684,0.16674,0.08530,0.22260,0.16674,0.17724,non-corporate,0.39346,2020
146,"Arts, entertainment, and recreation",189876790497.71692,,"Arts, entertainment, and recreation",-0.39832,0.09289,0.00143,0.14192,0.09289,0.10180,non-corporate,0.69007,2020
149,Finance and insurance,309388598978.03119,,Finance and insurance,-0.23165,0.19192,0.11223,0.24419,0.19192,0.20147,non-corporate,0.35887,2020
150,Health care and social assistance,712395514860.77893,,Health care and social assistance,-0.26870,0.16905,0.08647,0.22146,0.16905,0.17830,non-corporate,0.52591,2020
151,Information,167179370661.11032,,Information,-0.51891,0.02296,-0.07710,0.06792,0.02296,0.03117,non-corporate,0.86900,2020
152,Management of companies and enterprises,90403382554.93427,,Management of companies and enterprises,-0.25229,0.18167,0.10015,0.23153,0.18167,0.19061,non-corporate,0.43363,2020
153,Manufacturing,649562708068.65234,,Manufacturing,-0.33382,0.12819,0.04170,0.18150,0.12819,0.13803,non-corporate,0.57362,2020
154,Mining,317661770013.00690,,Mining,-0.46918,0.04038,-0.05487,0.09844,0.04038,0.05116,non-corporate,0.89422,2020
155,"Other services, except government",434659499245.13385,,"Other services, except government",-0.27579,0.16642,0.08312,0.21711,0.16642,0.17529,non-corporate,0.51816,2020
156,"Professional, scientific, and technical services",309828490189.64392,,"Professional, scientific, and technical services",-0.46902,0.06080,-0.03674,0.09853,0.06080,0.06747,non-corporate,0.75223,2020
157,Real estate and rental and leasing,10382152390209.22852,,Real estate and rental and leasing,-0.18893,0.22448,0.14714,0.27041,0.22448,0.23287,non-corporate,0.11220,2020
159,Transportation and warehousing,270737659127.65555,,Transportation and warehousing,-0.43887,0.05947,-0.03384,0.11703,0.05947,0.07008,non-corporate,0.84906,2020
162,Overall,20307631130712.19531,,Overall,-0.22050,0.11125,0.04260,0.12045,0.21693,0.19686,corporate,0.58776,2020
163,Overall,17036588869287.80469,,Overall,-0.22498,0.19921,0.11970,0.24829,0.19921,0.20819,non-corporate,0.26464,2020
0,Accommodation,251468386854.07248,7210,Accommodation and food services,-0.06840,0.20329,0.14591,0.23051,0.29789,0.28350,corporate,0.21097,2021
1,Food services and drinking places,170870560831.34879,7220,Accommodation and food services,-0.12693,0.15996,0.09936,0.18835,0.25970,0.24445,corporate,0.44409,2021
2,Administrative and support services,106492097792.69568,5610,Administrative and waste management services,-0.21878,0.09886,0.03225,0.12220,0.20586,0.18815,corporate,0.71736,2021
3,Waste management and remediation services,69464866307.31482,5620,Administrative and waste management services,-0.25063,0.07207,0.00437,0.09926,0.18224,0.16476,corporate,0.75801,2021
4,Farms,359601192714.82739,110C,"Agriculture, forestry, fishing, and hunting",-0.17073,0.12556,0.06321,0.15681,0.22938,0.21413,corporate,0.50321,2021
5,"Forestry, fishing, and related activities",34352705962.32426,113F,"Agriculture, forestry, fishing, and hunting",-0.15492,0.14283,0.08039,0.16819,0.24460,0.22854,corporate,0.41375,2021
6,"Performing arts, spectator sports, museums, and related activities",79922779340.27766,711A,"Arts, entertainment, and recreation",-0.28847,0.05932,-0.01284,0.07200,0.17101,0.15032,corporate,0.72941,2021
7,"Amusements, gambling, and recreation industries",103100531850.63574,7130,"Arts, entertainment, and recreation",-0.20878,0.10263,0.03727,0.12940,0.20918,0.19236,corporate,0.62980,2021
8,Construction,167674309864.62842,2300,Construction,-0.16196,0.13349,0.07130,0.16312,0.23637,0.22091,corporate,0.48894,2021
9,Educational services,321852356259.17963,6100,Educational services,-0.11929,0.17050,0.10920,0.19385,0.26898,0.25271,corporate,0.43348,2021
10,Credit intermediation and related activities,742471497270.98792,5220,Finance and insurance,-0.19315,0.11228,0.04784,0.14066,0.21768,0.20123,corporate,0.67481,2021
11,"Securities, commodity contracts, and investments",117288646634.00693,5230,Finance and insurance,-0.10376,0.17890,0.11930,0.20504,0.27639,0.26118,corporate,0.34009,2021
12,Insurance carriers and related activities,242704259872.50821,5240,Finance and insurance,-0.13801,0.15369,0.09206,0.18037,0.25418,0.23832,corporate,0.53935,2021
13,"Funds, trusts, and other financial vehicles",34266597922.83983,5250,Finance and insurance,-0.06402,0.20612,0.14886,0.23366,0.30038,0.28598,corporate,0.25658,2021
14,Ambulatory health care services,187676386627.50763,6210,Health care and social assistance,-0.16639,0.13246,0.06931,0.15993,0.23546,0.21924,corporate,0.59731,2021
15,Hospitals,476870658866.97443,622H,Health care and social assistance,-0.13675,0.15696,0.09489,0.18128,0.25706,0.24070,corporate,0.47792,2021
16,Nursing and residential care facilities,45367688456.41498,6230,Health care and social assistance,-0.13516,0.15623,0.09454,0.18243,0.25641,0.24041,corporate,0.50798,2021
17,Social assistance,32821172821.90539,6240,Health care and social assistance,-0.13671,0.15401,0.09252,0.18131,0.25446,0.23871,corporate,0.50415,2021
18,Publishing industries (including software),205722166039.38168,5110,Information,-0.29195,0.06290,-0.01032,0.06950,0.17416,0.15244,corporate,0.72129,2021
19,Motion picture and sound recording industries,275276728520.28156,5120,Information,-0.44070,-0.03194,-0.11523,-0.03763,0.09058,0.06443,corporate,0.90024,2021
20,Broadcasting and telecommunications,1290508619097.38721,5130,Information,-0.31972,0.02662,-0.04567,0.04950,0.14219,0.12279,corporate,0.90175,2021
21,Information and data processing services,118194411065.82817,5140,Information,-0.26281,0.07714,0.00644,0.09049,0.18671,0.16650,corporate,0.81395,2021
22,Management of companies and enterprises,424413204161.25208,5500,Management of companies and enterprises,-0.10929,0.17592,0.11575,0.20106,0.27377,0.25820,corporate,0.40331,2021
23,"Food, beverage, and tobacco products",382744557829.31506,311A,Manufacturing,-0.13920,0.14738,0.08676,0.17951,0.24861,0.23388,corporate,0.50900,2021
24,Textile mills and textile product mills,39763433351.20227,313T,Manufacturing,-0.12182,0.15883,0.09927,0.19203,0.25870,0.24437,corporate,0.50991,2021
25,Apparel and leather and allied products,23802489966.32124,315A,Manufacturing,-0.07410,0.19100,0.13461,0.22640,0.28705,0.27402,corporate,0.33163,2021
26,Wood products,45996624948.83839,3210,Manufacturing,-0.11267,0.16670,0.10755,0.19862,0.26564,0.25132,corporate,0.42685,2021
27,Paper products,129541595783.22841,3220,Manufacturing,-0.18170,0.11931,0.05583,0.14891,0.22388,0.20793,corporate,0.62831,2021
28,Printing and related support activities,49933189821.24265,3230,Manufacturing,-0.18498,0.11779,0.05393,0.14654,0.22253,0.20634,corporate,0.65574,2021
